Risk_ID,Type,Risk,Category,Cause_Consequence,P_1_5,I_1_5,Score,Level,Probability,Impact_MVND,EMV_MVND,Strategy,Response_Actions,Trigger,Contingency_Plan,Owner,Status,Date_Raised
R11,Mối đe doạ,Đội CS chưa sẵn sàng khi go-live,Vận hành,Thiếu quy trình → ticket ngập → trải nghiệm xấu,3,3,=F12*G12,"=IF(H12>=17,""Rất cao"",IF(H12>=10,""Cao"",IF(H12>=5,""Trung bình"",""Thấp"")))",0.5,28,=J12*K12,Mitigate,Huy vào đội UAT; kịch bản hỗ trợ; đào tạo,CS chưa hoàn thành đào tạo 3 tuần trước go-live,Tăng ca hỗ trợ hypercare,Hà,Đang theo dõi (giảm từ P4),2026-01-27
R12,Mối đe doạ,Môi trường staging không ổn định,Hạ tầng,Cấu hình lệch prod → lỗi ẩn → UAT trễ,3,3,=F13*G13,"=IF(H13>=17,""Rất cao"",IF(H13>=10,""Cao"",IF(H13>=5,""Trung bình"",""Thấp"")))",0.5,24,=J13*K13,Mitigate,IaC; staging giống prod; giám sát,Lỗi chỉ xảy ra ở prod,Dùng bản sao môi trường,Ánh,Đang theo dõi,2026-03-16
R13,Mối đe doạ,"Người chia sẻ (Mai Anh, Ánh) không đủ giờ",Nguồn lực,Ưu tiên dự án khác → thiết kế/hạ tầng chậm,3,2,=F14*G14,"=IF(H14>=17,""Rất cao"",IF(H14>=10,""Cao"",IF(H14>=5,""Trung bình"",""Thấp"")))",0.5,16,=J14*K14,Accept,Lịch khối; thoả thuận với quản lý họ,Thiết kế trễ > 1 tuần,Điều Designer/DevOps bổ sung,Hà,"Chấp nhận, theo dõi",2026-01-05
R14,Mối đe doạ,Quy định về ví điện tử/dữ liệu thay đổi,Pháp lý,Yêu cầu mới → làm lại/thời gian tuân thủ,3,3,=F15*G15,"=IF(H15>=17,""Rất cao"",IF(H15>=10,""Cao"",IF(H15>=5,""Trung bình"",""Thấp"")))",0.5,32,=J15*K15,Accept,Theo dõi văn bản; cố vấn pháp lý,Có văn bản mới,Điều chỉnh roadmap R2,Hà,"Chấp nhận, theo dõi",2026-02-13
R15,Mối đe doạ,SMS OTP chậm/thất bại,Vendor,Nhà cung cấp lỗi → không đăng nhập được,2,3,=F16*G16,"=IF(H16>=17,""Rất cao"",IF(H16>=10,""Cao"",IF(H16>=5,""Trung bình"",""Thấp"")))",0.3,24,=J16*K16,Transfer,Hợp đồng 2 nhà cung cấp; fallback,Tỷ lệ OTP thành công < 95%,Chuyển nhà cung cấp dự phòng,Dũng,Đang theo dõi,2026-02-09
R16,Mối đe doạ,Nhánh feature sống lâu gây merge conflict lớn,Kỹ thuật,Nhánh dài → merge khó → mất vài ngày,3,3,=F17*G17,"=IF(H17>=17,""Rất cao"",IF(H17>=10,""Cao"",IF(H17>=5,""Trung bình"",""Thấp"")))",0.5,24,=J17*K17,Avoid,Luật nhánh ≤ 5 ngày; PR nhỏ,Nhánh mở > 5 ngày,Dành 2 ngày merge cho cả đội,Dũng,Đang theo dõi,2026-04-13
R17,Mối đe doạ,Vượt ngân sách do crashing và thay thế nhân sự,Chi phí,Dùng dự phòng cho nhiều việc,4,3,=F18*G18,"=IF(H18>=17,""Rất cao"",IF(H18>=10,""Cao"",IF(H18>=5,""Trung bình"",""Thấp"")))",0.7,40,=J18*K18,Mitigate,Theo dõi hằng tuần; quy tắc dùng dự phòng,Dùng > 50% dự phòng trước T30,Cắt phạm vi Could,Hà,Đang theo dõi,2026-04-20
R18,Mối đe doạ,Không đủ người dùng thật cho UAT,Người dùng,Nhà hàng/tài xế bận → UAT thiếu dữ liệu,2,3,=F19*G19,"=IF(H19>=17,""Rất cao"",IF(H19>=10,""Cao"",IF(H19>=5,""Trung bình"",""Thấp"")))",0.3,24,=J19*K19,Mitigate,Lịch UAT đặt trước; bồi dưỡng,< 70% người tham gia xác nhận,Dùng nhóm đại diện nhỏ,Châu,Đang theo dõi,2026-04-06
O01,Cơ hội,Nhà hàng đối tác sẵn sàng beta sớm,Người dùng,Beta sớm → phản hồi thật trước UAT,3,3,=F20*G20,"=IF(H20>=17,""Rất cao"",IF(H20>=10,""Cao"",IF(H20>=5,""Trung bình"",""Thấp"")))",0.5,24,=J20*K20,Enhance,Mời 3 nhà hàng dùng thử staging,Nhà hàng xác nhận,,Lan,Đang khai thác,2026-03-16
O02,Cơ hội,Vendor bản đồ tặng credit khởi đầu,Vendor,Giảm chi phí bản đồ,2,2,=F21*G21,"=IF(H21>=17,""Rất cao"",IF(H21>=10,""Cao"",IF(H21>=5,""Trung bình"",""Thấp"")))",0.3,12,=J21*K21,Exploit,Đàm phán ở lần gia hạn,Vendor xác nhận,,Ánh,Đang theo dõi,2026-03-16
TONG_MOI_DOA,,Tổng EMV mối đe doạ còn hiệu lực,,,,,,,,,"=SUMIFS(L2:L21,B2:B21,""Mối đe doạ"")",,,,,,,
