WBS_ID,Level,Name,Description,Owner,Estimate_Days,Depends_On,Status
3.3.3,4,Cập nhật trạng thái giao và thu COD,,Tuấn,40,3.3.2,Chưa bắt đầu
3.3.4,4,Thu nhập và lịch sử,,Quỳnh,15,3.3.3,Chưa bắt đầu
3.4,3,Admin web,,,=SUM(F43:F46),,Baseline v1.0
3.4.1,4,Quản lý người dùng và phân quyền,,FE Web,15,3.5.1,Chưa bắt đầu
3.4.2,4,Quản lý nhà hàng và thực đơn,,FE Web,15,3.5.2,Chưa bắt đầu
3.4.3,4,Quản lý đơn và tranh chấp,,FE Web,15,3.5.3,Chưa bắt đầu
3.4.4,4,Báo cáo cơ bản,,FE Web,10,3.5.8,Chưa bắt đầu
3.5,3,Backend / API,,,=SUM(F48:F55),,Baseline v1.0
3.5.1,4,Dịch vụ tài khoản và xác thực,,Sơn,35,2.3.2,Chưa bắt đầu
3.5.2,4,Dịch vụ thực đơn và nhà hàng,,Backend 2,35,2.3.2,Chưa bắt đầu
3.5.3,4,Dịch vụ đơn hàng và vòng đời,,Sơn,65,3.5.1,Chưa bắt đầu
3.5.4,4,Dịch vụ ghép tài xế và định tuyến,,Backend 2,50,3.5.3,Chưa bắt đầu
3.5.5,4,Dịch vụ thanh toán và đối soát,,Sơn,55,3.5.3;6.1.1,Chưa bắt đầu
3.5.6,4,Dịch vụ thông báo (push/SMS),,Backend 2,25,3.5.1,Chưa bắt đầu
3.5.7,4,Theo dõi thời gian thực,,Backend 2,40,3.5.3,Chưa bắt đầu
3.5.8,4,Dữ liệu và báo cáo,,Sơn,25,3.5.3,Chưa bắt đầu
4,2,Kiểm thử,,,=F57+F60,,Baseline v1.0
4.1,3,Kế hoạch kiểm thử,,,=SUM(F58:F59),,Baseline v1.0
4.1.1,4,Chiến lược và kế hoạch kiểm thử,,Nam,10,1.1.1,Chưa bắt đầu
4.1.2,4,Viết test case,,QA,45,2.1.2,Chưa bắt đầu
4.2,3,Thực thi kiểm thử,,,=SUM(F61:F65),,Baseline v1.0
4.2.1,4,Kiểm thử chức năng theo sprint,,Nam,120,4.1.2,Chưa bắt đầu
4.2.2,4,Kiểm thử tự động và regression,,QA,45,4.2.1,Chưa bắt đầu
4.2.3,4,Kiểm thử hiệu năng,,Nam,15,3.5.3,Chưa bắt đầu
4.2.4,4,Kiểm thử bảo mật cơ bản,,Nam,12,3.5.5,Chưa bắt đầu
4.2.5,4,Hỗ trợ UAT và regression cuối,,Nam,30,4.2.2,Chưa bắt đầu
5,2,Hạ tầng và DevOps,,,=F67+F70,,Baseline v1.0
5.1,3,Môi trường và pipeline,,,=SUM(F68:F69),,Baseline v1.0
5.1.1,4,Môi trường dev/staging/prod,,Ánh,20,2.3.1,Chưa bắt đầu
5.1.2,4,CI/CD pipeline,,Ánh,25,5.1.1,Chưa bắt đầu
5.2,3,Giám sát và an toàn,,,=SUM(F71:F73),,Baseline v1.0
5.2.1,4,Giám sát và logging,,Ánh,15,5.1.1,Chưa bắt đầu
5.2.2,4,Sao lưu và bảo mật hạ tầng,,Ánh,12,5.1.1,Chưa bắt đầu
5.2.3,4,Hỗ trợ release,,Ánh,20,5.1.2,Chưa bắt đầu
6,2,Tích hợp bên thứ ba,,,=F75+F77,,Baseline v1.0
6.1,3,Thanh toán,,,=SUM(F76:F76),,Baseline v1.0
6.1.1,4,Tích hợp PayEasy và chứng nhận,"Sandbox, tích hợp, chứng nhận",Dũng,40,2.3.2,Chưa bắt đầu
6.2,3,Dịch vụ khác,,,=SUM(F78:F81),,Baseline v1.0
6.2.1,4,SMS OTP,,Backend 2,10,2.3.2,Chưa bắt đầu
6.2.2,4,Bản đồ và định tuyến,,Quỳnh,20,2.3.2,Chưa bắt đầu
6.2.3,4,Push notification service,,Backend 2,8,2.3.2,Chưa bắt đầu
6.2.4,4,API dữ liệu nhà hàng,,Sơn,12,2.3.2,Chưa bắt đầu
7,2,Triển khai và đào tạo,,,=F83+F88,,Baseline v1.0
7.1,3,Chuẩn bị go-live,,,=SUM(F84:F87),,Baseline v1.0
7.1.1,4,Kế hoạch cutover và rollback,,Dũng,8,5.1.2,Chưa bắt đầu
7.1.2,4,Di chuyển dữ liệu nhà hàng,,Sơn,12,6.2.4,Chưa bắt đầu
7.1.3,4,Đào tạo nhà hàng và tài xế,,Lan,15,4.2.5,Chưa bắt đầu
7.1.4,4,Tài liệu người dùng và runbook,,Lan,15,4.2.5,Chưa bắt đầu
7.2,3,Go-live và hypercare,,,=SUM(F89:F90),,Baseline v1.0
7.2.1,4,Go-live và cutover,,Dũng,10,7.1.1,Chưa bắt đầu
7.2.2,4,Hypercare 4 tuần,,Hà,40,7.2.1,Chưa bắt đầu
8,2,Đóng dự án,,,=F92,,Baseline v1.0
8.1,3,Đóng và bàn giao,,,=SUM(F93:F95),,Baseline v1.0
8.1.1,4,Nghiệm thu và bàn giao vận hành,,Hà,8,7.2.2,Chưa bắt đầu
8.1.2,4,Lessons learned và báo cáo đóng,,Hà,6,8.1.1,Chưa bắt đầu
8.1.3,4,"Đóng hợp đồng, giải phóng nguồn lực",,Hà,4,8.1.2,Chưa bắt đầu
KIEM-TRA,,Tổng kiểm tra (chỉ cộng work package cấp 4),Phải bằng dòng 0; đối chiếu năng lực = 12 FTE × 185 ngày = 2.220,,"=SUMIFS(F2:F95,B2:B95,4)",,OK
